Timestamp,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets
2017-04-26 03:03:25,10.20.4.12,80,10.200.7.196,36240,6,25938054,99,45,273898,1988.0
2017-04-26 03:03:51,10.20.4.12,80,10.200.7.196,36240,6,197,1,1,0,0.0
2017-04-26 03:04:11,10.200.1.118,49340,10.200.7.8,3128,6,877,7,4,0,0.0
2017-04-26 03:04:11,10.200.1.118,35890,10.200.7.7,3128,6,521,1,1,0,0.0
2017-04-26 03:04:11,10.200.1.118,35890,10.200.7.7,3128,6,36,4,0,0,0.0
2017-04-26 03:04:11,10.200.1.118,35890,10.200.7.7,3128,6,883,7,4,0,0.0
2017-04-26 03:04:11,10.200.1.118,49340,10.200.7.8,3128,6,573,1,1,0,0.0
2017-04-26 03:04:11,10.200.1.118,49340,10.200.7.8,3128,6,281,4,0,0,0.0
2017-04-26 03:04:19,10.20.2.114,443,10.200.7.8,51394,6,257,1,4,0,24.0
2017-04-26 03:04:24,10.20.2.114,80,10.200.7.8,42966,6,482,1,1,0,0.0
2017-04-26 03:04:33,10.200.1.118,52459,10.200.7.195,3128,6,94,3,0,0,0.0
2017-04-26 03:04:33,10.200.1.118,52459,10.200.7.195,3128,6,612,6,3,0,0.0
2017-04-26 03:04:34,10.200.1.118,58070,10.200.7.6,3128,6,63,3,0,0,0.0
2017-04-26 03:04:34,10.200.1.118,58070,10.200.7.6,3128,6,930,6,3,0,0.0
2017-04-26 03:04:46,10.200.1.118,44793,10.200.7.5,3128,6,78,3,0,0,0.0
2017-04-26 03:04:46,10.200.1.118,44793,10.200.7.5,3128,6,724,6,3,0,0.0
2017-04-26 03:04:48,10.200.1.118,48552,10.200.7.196,3128,6,571,5,3,0,0.0
2017-04-26 03:04:48,10.200.1.118,48552,10.200.7.196,3128,6,39,3,0,0,0.0
2017-04-26 03:04:54,10.130.5.199,55977,10.200.7.7,3128,6,23976,4,4,449,1777.0
2017-04-26 03:04:57,10.130.5.199,55979,10.200.7.7,3128,6,23332,4,7,449,3554.0
2017-04-26 03:04:57,10.130.5.199,55983,10.200.7.8,3128,6,3053253,5,11,451,3558.0
