Timestamp,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets
2017-04-26 11:11:17,172.19.1.46,52422,10.200.7.7,3128,6,45523,22,55,132,110414.0
2017-04-26 11:11:17,10.200.7.7,3128,172.19.1.46,52422,6,1,2,0,12,0.0
2017-04-26 11:11:17,50.31.185.39,80,10.200.7.217,38848,6,1,3,0,674,0.0
2017-04-26 11:11:17,50.31.185.39,80,10.200.7.217,38848,6,217,1,3,0,0.0
2017-04-26 11:11:17,192.168.72.43,55961,10.200.7.7,3128,6,78068,5,0,1076,0.0
2017-04-26 11:11:17,10.200.7.6,3128,172.19.1.56,50004,6,105069,136,0,313554,0.0
2017-04-26 11:11:17,192.168.72.43,55963,10.200.7.7,3128,6,104443,5,0,1076,0.0
2017-04-26 11:11:17,192.168.10.47,51848,10.200.7.6,3128,6,11002,3,12,232,3664.0
2017-04-26 11:11:17,68.67.178.197,443,10.200.7.217,57300,6,108503,10,6,6904,1302.0
2017-04-26 11:11:17,192.168.72.43,55977,10.200.7.7,3128,6,118415,7,0,2210,0.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57740,6,205118,32,4,6494,3118.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57740,6,3,5,0,9991,0.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57740,6,131,3,0,5611,0.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57740,6,6,3,0,5611,0.0
2017-04-26 11:11:17,10.200.7.6,3128,172.19.1.45,50227,6,108338,123,0,192822,0.0
2017-04-26 11:11:17,212.124.124.94,443,10.200.7.194,44447,6,202096,4,6,174,3130.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57741,6,202151,31,4,1861,3118.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57741,6,1,2,0,998,0.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57741,6,1,2,0,998,0.0
2017-04-26 11:11:17,172.217.30.13,443,10.200.7.217,41526,6,1,2,0,0,0.0
2017-04-26 11:11:17,172.217.30.13,443,10.200.7.217,41526,6,620,2,5,126,0.0
2017-04-26 11:11:17,10.200.7.9,3128,192.168.180.37,1978,6,229417,64,13,55282,2010.0
2017-04-26 11:11:17,10.200.7.9,3128,192.168.180.37,1978,6,13,2,0,0,0.0
2017-04-26 11:11:17,10.200.7.9,3128,192.168.180.37,1978,6,94,2,0,0,0.0
2017-04-26 11:11:17,192.168.32.49,54500,10.200.7.9,3128,6,10662,4,13,270,2802.0
2017-04-26 11:11:17,10.200.7.9,3128,192.168.32.49,54500,6,100,2,0,12,0.0
2017-04-26 11:11:17,65.55.44.54,443,10.200.7.196,52798,6,275970,8,8,7701,1184.0
2017-04-26 11:11:17,192.168.72.43,55991,10.200.7.7,3128,6,120170,7,0,940,0.0
2017-04-26 11:11:17,192.168.72.43,55989,10.200.7.7,3128,6,169292,277,0,2360,0.0
2017-04-26 11:11:17,192.168.180.51,57743,10.200.7.4,3128,6,313980,7,41,3355,1989.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57743,6,486,3,0,1004,0.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57743,6,1807,1,2,6,12.0
2017-04-26 11:11:17,192.168.180.51,57742,10.200.7.4,3128,6,332779,5,42,1664,2028.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,57742,6,1,2,0,998,0.0
2017-04-26 11:11:17,192.168.180.51,57742,10.200.7.4,3128,6,1291,2,0,12,0.0
2017-04-26 11:11:17,192.168.72.43,55994,10.200.7.7,3128,6,39640,7,0,870,0.0
2017-04-26 11:11:17,192.168.72.43,55980,10.200.7.7,3128,6,247289,15,0,1388,0.0
2017-04-26 11:11:17,10.200.7.217,37557,179.1.4.251,443,6,243047,21,17,922,9330.0
2017-04-26 11:11:17,10.200.7.217,37557,179.1.4.251,443,6,10022,1,1,0,0.0
2017-04-26 11:11:17,192.168.180.51,57744,10.200.7.4,3128,6,316245,6,41,1992,1987.0
2017-04-26 11:11:17,192.168.72.43,55973,10.200.7.7,3128,6,251594,8,0,1502,0.0
2017-04-26 11:11:18,10.200.7.5,3128,172.17.1.110,49450,6,46280,9,0,30,0.0
2017-04-26 11:11:18,10.200.7.5,3128,172.17.1.110,49450,6,15,2,0,323,0.0
2017-04-26 11:11:17,192.168.180.37,1980,10.200.7.9,3128,6,308270,14,73,2214,69631.0
2017-04-26 11:11:18,10.200.7.9,3128,192.168.180.37,1980,6,80,5,1,0,0.0
2017-04-26 11:11:17,10.200.7.199,46617,207.244.80.182,443,6,302791,16,10,2070,14046.0
2017-04-26 11:11:18,10.200.7.9,3128,192.168.180.37,1980,6,1,2,0,0,0.0
2017-04-26 11:11:18,192.168.72.43,56001,10.200.7.7,3128,6,84530,35,0,3006,0.0
2017-04-26 11:11:17,10.200.7.196,38890,151.101.64.84,443,6,201725,6,7,1405,994.0
2017-04-26 11:11:18,10.200.7.196,38890,151.101.64.84,443,6,130,4,0,0,0.0
2017-04-26 11:11:17,192.168.51.50,62803,10.200.7.6,3128,6,284136,6,9,1631,1063.0
2017-04-26 11:11:18,192.168.51.50,62803,10.200.7.6,3128,6,681,2,0,12,0.0
2017-04-26 11:11:17,172.19.1.58,50386,10.200.7.8,3128,6,559624,144,532,889,972157.0
2017-04-26 11:11:18,10.200.7.8,3128,172.19.1.58,50386,6,1,2,0,12,0.0
2017-04-26 11:11:17,192.168.72.43,55996,10.200.7.7,3128,6,251334,9,0,1074,0.0
2017-04-26 11:11:17,10.200.7.217,54171,190.60.67.98,80,6,608877,139,587,11598,1217608.0
2017-04-26 11:11:18,10.200.7.217,54171,190.60.67.98,80,6,173,1,3,0,0.0
2017-04-26 11:11:18,10.200.7.5,3128,172.17.1.110,49451,6,104619,10,0,3713,0.0
2017-04-26 11:11:18,10.200.7.5,3128,172.17.1.110,49451,6,29,5,0,6609,0.0
2017-04-26 11:11:18,10.200.7.5,3128,172.17.1.110,49451,6,460,3,0,3689,0.0
2017-04-26 11:11:17,10.200.7.217,54170,190.60.67.98,80,6,430816,34,51,4858,86153.0
2017-04-26 11:11:18,10.200.7.217,54170,190.60.67.98,80,6,29,1,3,0,0.0
2017-04-26 11:11:18,192.168.72.43,56005,10.200.7.7,3128,6,140794,7,0,864,0.0
2017-04-26 11:11:18,10.200.7.217,54173,190.60.67.98,80,6,56587,7,4,2324,1016.0
2017-04-26 11:11:18,10.200.7.217,54173,190.60.67.98,80,6,292,1,3,0,0.0
2017-04-26 11:11:18,192.168.10.47,51849,10.200.7.6,3128,6,98397,3,12,232,744.0
2017-04-26 11:11:18,10.200.7.217,54175,190.60.67.98,80,6,73839,7,4,2336,1016.0
2017-04-26 11:11:18,10.200.7.217,54175,190.60.67.98,80,6,283,1,3,0,0.0
2017-04-26 11:11:17,172.19.1.57,50184,10.200.7.7,3128,6,671266,159,502,919,916870.0
2017-04-26 11:11:18,192.168.72.43,56008,10.200.7.7,3128,6,92878,9,0,2154,0.0
2017-04-26 11:11:18,192.168.72.43,56000,10.200.7.7,3128,6,347402,43,0,10010,0.0
2017-04-26 11:11:18,172.19.1.64,49863,10.200.7.8,3128,6,192268,123,376,1194,684258.0
2017-04-26 11:11:17,192.168.180.37,1982,10.200.7.9,3128,6,606743,14,66,2214,47866.0
2017-04-26 11:11:18,10.200.7.9,3128,192.168.180.37,1982,6,86,5,0,0,0.0
2017-04-26 11:11:18,10.200.7.199,46622,207.244.80.182,443,6,299053,16,8,2070,14759.0
2017-04-26 11:11:18,10.200.7.9,3128,192.168.180.37,1982,6,1,2,0,0,0.0
2017-04-26 11:11:18,10.200.7.9,3128,192.168.180.37,1982,6,1,2,0,0,0.0
2017-04-26 11:11:18,192.168.72.43,56007,10.200.7.7,3128,6,269695,35,0,6925,0.0
2017-04-26 11:11:18,10.200.7.195,37458,104.91.156.236,80,6,37651,3,3,169,0.0
2017-04-26 11:11:18,179.1.4.231,443,10.200.7.217,56687,6,1017,2,5,126,0.0
2017-04-26 11:11:18,192.168.72.43,56015,10.200.7.7,3128,6,29463,7,0,994,0.0
2017-04-26 11:11:18,179.1.4.210,443,10.200.7.217,51536,6,1041,2,5,126,0.0
2017-04-26 11:11:18,10.200.7.195,37461,104.91.156.236,80,6,37534,3,3,169,0.0
2017-04-26 11:11:18,192.168.42.31,52680,10.200.7.5,3128,6,405528,7,33,669,17153.0
2017-04-26 11:11:18,10.200.7.195,44858,216.58.202.225,443,6,346773,8,3,443,2799.0
2017-04-26 11:11:18,192.168.42.31,52677,10.200.7.5,3128,6,407686,7,30,669,11635.0
