       Epoch  Generator Loss  Discriminator Loss
0          0        5.141777           -0.300871
1          1        5.473977           -0.441810
2          2        5.189477           -0.611509
3          3        5.447461           -0.738222
4          4        5.784891           -1.226287
5          5        5.480521           -1.082373
6          6        5.551834           -1.410651
7          7        5.270103           -1.023599
8          8        5.378230           -1.203928
9          9        5.117272           -1.096688
10        10        5.028956           -0.812165
11        11        4.954554           -0.808930
12        12        4.313790           -0.221906
13        13        4.281417           -0.098434
14        14        4.608701           -0.137990
15        15        3.992917            0.323661
16        16        3.955051            0.310402
17        17        4.245773            0.147667
18        18        4.144823            0.164225
19        19        4.254751            0.134800
20        20        4.345983           -0.148374
21        21        3.705278            0.015546
22        22        3.872335           -0.019109
23        23        4.199183           -0.235015
24        24        3.875812           -0.001972
25        25        3.871023            0.081538
26        26        4.058205           -0.022687
27        27        3.539361            0.163664
28        28        3.824300           -0.002525
29        29        3.698371            0.004942
30        30        3.772768            0.072449
31        31        3.861907           -0.001227
32        32        3.536469            0.018310
33        33        3.448199           -0.174130
34        34        3.020905            0.006303
35        35        3.372201           -0.026930
36        36        3.406683            0.008769
37        37        3.835008           -0.231975
38        38        3.578406           -0.126526
39        39        3.301748            0.096742
40        40        3.092312           -0.059698
41        41        2.692472           -0.096989
42        42        3.022563            0.015903
43        43        3.242453           -0.050501
44        44        3.108182           -0.021263
45        45        3.062893           -0.094658
46        46        2.877225           -0.212009
47        47        2.659362           -0.019354
48        48        2.691447           -0.009519
49        49        3.045076           -0.225885
50        50        2.684061           -0.050101
51        51        2.705530           -0.081652
52        52        2.519601           -0.025711
53        53        2.606833           -0.127928
54        54        2.494152            0.002069
55        55        2.504667           -0.095475
56        56        2.660546           -0.185939
57        57        2.390838            0.082819
58        58        2.325163            0.027814
59        59        2.269156           -0.103199
60        60        2.516505            0.014359
61        61        2.367646           -0.043612
62        62        2.074177            0.006894
63        63        1.902218            0.062070
64        64        2.050514           -0.076338
65        65        1.914225            0.045090
66        66        1.654325           -0.083255
67        67        1.653206           -0.078421
68        68        1.833662           -0.052763
69        69        1.788333           -0.042848
70        70        1.280733           -0.090625
71        71        1.092425           -0.172218
72        72        1.007691            0.057034
73        73        0.833339           -0.030405
74        74        1.044407           -0.061927
75        75        1.059206            0.004372
76        76        0.784823           -0.010004
77        77        0.781700           -0.034396
78        78        0.317070            0.185668
79        79        0.688313            0.050024
80        80        0.663253           -0.135188
81        81        0.463275            0.064257
82        82        0.646159           -0.038368
83        83        0.162078            0.051912
84        84        0.226625           -0.064783
85        85        0.096533            0.062177
86        86       -0.023311           -0.004584
87        87        0.035336            0.021772
88        88        0.125051           -0.073679
89        89        0.100285           -0.002576
90        90       -0.018402            0.049866
91        91       -0.171180           -0.059480
92        92       -0.019084           -0.112227
93        93       -0.058191            0.005892
94        94       -0.292254            0.041199
95        95       -0.319524           -0.034763
96        96       -0.427710            0.094618
97        97       -0.133258            0.039789
98        98       -0.140454           -0.033750
99        99       -0.305461           -0.024089
100      100       -0.334550           -0.039523
101      101       -0.379509            0.067513
102      102       -0.385840            0.046331
103      103       -0.364775           -0.003834
104      104       -0.311299            0.001666
105      105       -0.269154           -0.002664
106      106       -0.365294            0.005321
107      107       -0.352332           -0.085714
108      108       -0.516817            0.046179
109      109       -0.362381           -0.016712
110      110       -0.347106            0.071873
111      111       -0.382481            0.116712
112      112       -0.443167           -0.024199
113      113       -0.489408            0.085092
114      114       -0.474165            0.004619
115      115       -0.454458           -0.025486
116      116       -0.463015            0.023989
117      117       -0.335490           -0.040128
118      118       -0.358624            0.038865
119      119       -0.362272           -0.046953
120      120       -0.515018           -0.050200
121      121       -0.436718           -0.028352
122      122       -0.573718           -0.023136
123      123       -0.427299            0.133769
124      124       -0.425629           -0.010345
125      125       -0.322965            0.084609
126      126       -0.304133           -0.020492
127      127       -0.304468           -0.023658
128      128       -0.423444           -0.088662
129      129       -0.551184            0.095702
130      130       -0.480603            0.228587
131      131       -0.382305            0.067097
132      132       -0.439727           -0.101897
133      133       -0.448674           -0.091649
134      134       -0.379081           -0.005585
135      135       -0.393523            0.062935
136      136       -0.294115           -0.050624
137      137       -0.244622            0.005003
138      138       -0.422673           -0.009268
139      139       -0.476913           -0.009058
140      140       -0.379525            0.041642
141      141       -0.145321           -0.163893
142      142       -0.099584           -0.061033
143      143       -0.111275           -0.098974
144      144       -0.233897           -0.030137
145      145       -0.439036            0.017727
146      146       -0.419057           -0.080143
147      147       -0.185676           -0.090299
148      148       -0.156100           -0.052185
149      149       -0.284139            0.053191
150      150       -0.450017            0.004683
151      151       -0.223498           -0.063257
152      152       -0.031543           -0.160912
153      153       -0.230669           -0.029938
154      154       -0.350284           -0.072072
155      155       -0.294977           -0.119091
156      156       -0.310927            0.023986
157      157       -0.237044           -0.041381
158      158       -0.231211           -0.081986
159      159       -0.394658           -0.158518
160      160       -0.517762           -0.002384
161      161       -0.260988           -0.120967
162      162       -0.339391            0.023982
163      163       -0.393192           -0.035062
164      164       -0.440932           -0.089633
165      165       -0.475243            0.010839
166      166       -0.298490           -0.055219
167      167       -0.198626           -0.031297
168      168       -0.262972           -0.068660
169      169       -0.212422           -0.009266
170      170       -0.303239           -0.027979
171      171       -0.335777           -0.109125
172      172       -0.290640           -0.140705
173      173       -0.178547           -0.049211
174      174       -0.215693           -0.090705
175      175       -0.344545            0.052857
