      Epoch  Generator Loss  Discriminator Loss
0         0        5.369627           -0.395165
1         1        5.174754           -0.624613
2         2        4.920585           -0.899010
3         3        4.901018           -1.117226
4         4        4.868443           -1.237186
5         5        4.966524           -1.147095
6         6        4.794344           -0.897802
7         7        4.599275           -0.685437
8         8        3.920315           -0.588979
9         9        4.045315           -0.414785
10       10        3.671592           -0.202934
11       11        4.093890           -0.121045
12       12        4.150390            0.025069
13       13        3.846696           -0.047249
14       14        3.984108           -0.165614
15       15        3.580912            0.035432
16       16        3.516811           -0.023133
17       17        3.195408           -0.037222
18       18        3.299395            0.145001
19       19        3.666920           -0.066284
20       20        3.961941           -0.125360
21       21        3.515989            0.240367
22       22        3.279937           -0.059004
23       23        3.526742           -0.030664
24       24        3.244706            0.136871
25       25        3.301003           -0.138035
26       26        3.381965           -0.099220
27       27        3.736446            0.146948
28       28        3.542581           -0.141703
29       29        3.130138            0.002439
30       30        2.955087           -0.176396
31       31        2.678057           -0.090383
32       32        3.053023           -0.047788
33       33        2.953597           -0.110762
34       34        2.999639            0.047008
35       35        2.873197           -0.054221
36       36        3.208133           -0.005631
37       37        2.671277           -0.082389
38       38        2.791377           -0.039534
39       39        2.973178           -0.004697
40       40        3.043790           -0.067193
41       41        3.029259           -0.043643
42       42        2.810830            0.069500
43       43        2.908589           -0.124348
44       44        2.799080           -0.106235
45       45        2.517011            0.002293
46       46        2.598845           -0.046369
47       47        2.644494           -0.017640
48       48        2.655803           -0.033945
49       49        2.520641            0.056537
50       50        2.212389           -0.010716
51       51        1.946618           -0.107753
52       52        2.001870           -0.039575
53       53        2.382800           -0.055256
54       54        1.941533            0.017861
55       55        2.064761           -0.089661
56       56        1.766481           -0.013698
57       57        1.502866           -0.012926
58       58        1.795454           -0.177575
59       59        1.273910           -0.141976
60       60        1.544197           -0.137581
61       61        1.713576           -0.000056
62       62        1.347284           -0.011335
63       63        1.264559           -0.069124
64       64        0.706222           -0.183269
65       65        0.820133           -0.012415
66       66        0.902442            0.063366
67       67        0.899776           -0.058947
68       68        0.636223            0.126360
69       69        0.591287            0.039414
70       70        0.648309           -0.003676
71       71        0.527043           -0.073735
72       72        0.552698            0.117162
73       73        0.489944           -0.051802
74       74        0.431392            0.029546
75       75        0.214606            0.101723
76       76        0.288102           -0.030559
77       77        0.330220           -0.130530
78       78        0.200111            0.043417
79       79        0.215062           -0.051278
80       80        0.261344           -0.008443
81       81        0.238388            0.018932
82       82        0.169096           -0.038305
83       83        0.221356           -0.060295
84       84        0.104147            0.028564
85       85        0.001498            0.146781
86       86       -0.002248           -0.154160
87       87       -0.068067           -0.085952
88       88        0.293082            0.107581
89       89       -0.046963            0.057613
90       90       -0.106176           -0.049729
91       91       -0.318335            0.144368
92       92       -0.409689            0.012835
