Timestamp,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets
2017-04-27 06:03:49,10.20.2.114,80,10.200.7.7,36453,6,1,2,1,0,335.0
2017-05-15 00:28:09,10.200.7.195,58098,216.58.222.202,443,6,104192821,5,4,840,3148.0
2017-04-27 05:16:03,10.200.7.194,56015,13.32.251.252,443,6,113269579,16,26,216,32843.0
2017-04-26 15:43:07,192.168.180.37,53364,10.200.7.9,3128,6,389363,16,83,0,50259.0
2017-04-26 20:42:13,10.20.2.116,80,10.200.7.8,41715,6,6699484,19,6,12899,3223.0
2017-04-27 00:30:05,10.200.7.194,44696,192.150.19.174,443,6,389676,6,4,0,577.0
2017-05-15 03:32:38,10.200.7.194,55961,93.184.216.172,443,6,101851727,9,8,372,2695.0
2017-04-28 14:53:37,10.200.1.118,0,10.200.7.4,0,0,1,3,1,760,2642.0
2017-04-28 02:41:24,10.200.1.118,0,10.200.7.5,0,0,56149,4,2,325,2962.0
2017-04-27 00:06:02,10.200.7.194,39362,52.225.129.179,80,6,96462372,44,168,472,0.0
2017-05-11 00:40:17,216.58.202.225,443,10.200.7.217,38810,6,92572834,13,4,1037,2516.0
2017-04-26 22:15:44,10.200.7.194,35607,13.107.4.50,80,6,103009314,6,5,510,1934.0
2017-04-27 18:13:30,10.200.1.118,51293,10.200.7.8,3128,6,1,3,1,0,0.0
2017-05-09 12:15:01,10.20.2.114,80,10.200.7.8,54125,6,1,1,1,0,0.0
2017-04-26 16:40:01,10.20.2.114,80,10.200.7.8,50004,6,1,2,2,429,1948.0
2017-05-15 11:18:57,10.200.7.194,38710,216.58.222.194,443,6,1,4,2,405,0.0
2017-04-27 08:02:27,10.200.7.194,55994,10.200.7.7,443,6,1,2,0,63,0.0
2017-04-26 03:03:25,10.200.7.5,3128,192.168.42.31,1984,6,1,1,0,0,0.0
2017-04-26 03:03:25,10.200.7.5,3128,172.17.1.110,49451,6,1,8,5,8515,4677.0
2017-04-28 12:16:56,10.200.1.118,0,10.200.7.196,0,0,270721,3,0,778,1876.0
2017-05-09 08:03:29,10.200.7.194,54921,152.163.56.2,443,6,99178,14,10,0,1284.0
2017-05-09 17:03:44,10.120.1.191,37380,10.200.7.8,3128,6,1,4,2,214,27.0
2017-04-26 04:52:09,10.200.7.5,3128,192.168.42.31,52677,6,1,1,0,318,298.0
2017-05-11 13:27:59,10.200.7.195,40972,179.1.4.230,443,6,97241416,7,4,0,0.0
2017-05-11 10:40:32,10.200.1.118,60493,10.200.7.9,3128,6,1,4,1,0,0.0
2017-04-28 21:19:47,10.200.1.118,0,10.200.7.196,0,0,1,1,0,1185,2211.0
2017-05-09 12:05:06,10.200.7.194,57532,81.17.208.213,443,6,19553494,19,4,605,1925.0
2017-04-27 03:08:23,10.20.2.114,80,10.200.7.8,36718,6,1,1,2,46,283.0
2017-05-15 08:36:33,10.200.7.194,37421,69.147.82.61,443,6,107202480,41,10,1827,2317352.0
2017-05-15 05:22:32,10.200.7.194,53380,10.200.7.196,443,6,1,2,1,0,0.0
2017-04-26 20:03:27,10.20.4.180,8089,10.200.7.194,51124,6,1,2,0,269,603.0
2017-05-15 01:16:23,10.200.1.16,443,10.200.7.218,42905,6,1,1,0,98,0.0
2017-05-15 05:51:48,10.200.1.166,0,10.200.7.199,0,0,1,2,3,0,3390.0
2017-04-26 14:47:49,172.19.1.58,80,10.200.7.217,51536,6,80248,4,0,0,0.0
2017-04-28 12:07:22,10.200.1.118,0,10.200.7.5,0,0,1,2,0,594,1780.0
2017-04-27 04:42:46,10.20.2.114,80,10.200.7.8,50867,6,67826,2,2,0,775.0
2017-04-27 03:57:43,10.20.2.114,80,10.200.7.8,33408,6,1,1,1,0,0.0
2017-05-11 03:07:02,10.200.7.194,54620,172.217.29.42,443,6,98012,2,3,1026,256.0
2017-04-27 04:10:57,10.20.2.114,80,10.200.7.7,52678,6,1,1,1,47,490.0
2017-04-26 03:03:25,10.200.7.199,36084,207.244.80.182,80,6,1,2,7,2928,5154.0
2017-04-28 00:53:15,10.200.1.118,0,10.200.7.4,0,0,1,5,4,864,3844.0
2017-04-27 12:33:18,10.200.7.194,49064,65.52.108.76,443,6,848287,6,4,423,2198.0
2017-05-11 00:10:06,10.20.4.43,80,10.200.7.196,51161,6,7640947,94,22,70297,125575.0
2017-05-15 03:31:36,10.200.7.194,58435,179.1.4.237,443,6,602940,1,1,993,0.0
2017-05-15 01:08:25,10.200.7.194,38615,10.200.7.194,443,6,96650964,6,5,758,318.0
2017-04-26 08:56:40,216.58.202.225,443,10.200.7.195,44857,6,1,2,0,461,0.0
2017-05-09 04:21:59,10.200.1.118,58510,10.200.7.217,3128,6,1,4,1,0,0.0
2017-04-26 22:55:24,10.20.2.116,80,10.200.7.8,57183,6,1,1,1,0,678.0
2017-04-26 05:02:28,10.200.7.7,3128,52.2.56.173,58443,6,1,1,0,0,288.0
2017-05-09 11:20:04,10.20.2.114,443,10.200.7.194,52956,6,1,1,0,10188,0.0
2017-04-26 16:50:33,192.168.10.47,51014,10.200.7.6,3128,6,1,2,0,186,2397.0
2017-04-26 15:32:43,10.200.7.6,3128,192.168.220.177,40531,6,1,4,0,503,0.0
2017-05-11 12:10:53,10.130.10.191,39910,10.200.7.7,3128,6,1,5,6,0,1554.0
2017-04-27 09:36:54,10.200.7.6,443,10.200.7.195,52956,6,1,2,0,0,0.0
2017-05-14 18:57:09,10.200.1.118,60868,10.200.7.217,3128,6,152540,5,3,225,2235.0
2017-05-09 06:23:12,10.200.1.230,80,10.200.7.195,34077,0,1,1,3,397,1119.0
2017-04-27 05:22:15,10.200.7.194,50714,169.55.164.178,443,6,101112988,4,2,254,1823.0
2017-05-15 02:02:07,10.200.7.194,46466,104.208.31.113,443,6,96307359,4,7,1254,889.0
2017-05-11 18:32:53,10.200.7.194,49224,179.1.4.245,443,6,5478084,3,2,857,716.0
2017-05-11 07:00:48,10.200.7.194,48397,216.58.222.197,443,6,110752826,7,4,1397,1939.0
2017-04-27 13:46:08,10.20.5.5,80,10.200.7.217,53285,6,1,2,3,7575,0.0
2017-04-26 23:34:18,10.20.2.116,80,10.200.7.8,60116,6,1,1,0,0,0.0
2017-04-26 19:23:57,10.200.7.9,3128,192.168.180.37,1980,6,1,2,0,0,0.0
2017-05-10 22:44:45,10.200.7.194,40910,50.18.110.160,80,6,3470444,8,6,1047,0.0
2017-05-14 21:32:11,10.200.7.194,56704,173.230.128.9,443,6,1,4,2,94,0.0
2017-04-26 09:06:10,216.58.202.225,443,10.200.7.199,44857,6,1,1,0,439,0.0
