Timestamp,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets
2017-04-28 00:27:16,192.168.32.35,51900,17.248.137.211,443,17,1,7,0,4736,2028.0
2017-05-09 05:33:12,10.200.7.194,39401,10.200.7.7,443,6,1,30,0,2373,2520.0
2017-05-09 15:55:22,10.200.1.118,80,192.16.31.49,47073,6,1,9,0,5741,5775.0
2017-04-27 00:48:03,10.200.7.194,34836,10.20.4.43,37881,6,1,6,0,4216,6331.0
2017-05-09 01:28:09,10.200.1.195,45882,40.77.224.254,37676,6,1,8,0,3351,8323.0
2017-04-27 06:41:18,10.130.10.232,38615,96.7.9.2,443,6,1,5,0,4761,5450.0
2017-05-15 00:52:30,10.200.1.118,53582,179.1.4.245,443,6,1,10,0,4531,5125.0
2017-05-15 11:18:57,10.230.1.161,51900,52.84.133.92,51771,6,2688959,29,0,5435,3977.0
2017-05-10 21:35:48,10.200.7.194,50292,172.217.29.74,8080,6,1,7,0,3469,2721.0
2017-04-27 06:12:39,10.200.7.194,37978,10.200.7.7,57210,6,1,22,0,5135,3230.0
2017-04-27 21:26:22,10.200.7.194,80,192.99.21.165,57184,6,1,29,2,5358,5535.0
2017-05-09 17:42:44,10.200.7.194,45194,104.244.42.65,443,0,1221510,9,0,3152,969.0
2017-04-26 14:36:12,10.200.1.118,0,104.16.27.235,443,6,1,8,0,3459,4251.0
2017-05-15 08:55:29,10.200.7.194,40736,10.200.7.29,3128,6,1,10,0,3509,2331.0
2017-04-27 17:45:50,192.30.253.124,43216,10.200.7.195,44857,6,1,31,0,2495,0.0
2017-05-09 06:28:48,10.200.7.194,50520,10.200.7.5,59593,6,1,24,0,3399,2909.0
2017-05-15 02:50:15,10.200.1.118,51105,54.87.174.207,3128,6,1,12,0,6160,6150.0
2017-04-27 02:54:49,10.230.1.213,47876,159.8.67.139,42705,0,1,69,0,4453,5120.0
2017-05-15 07:41:08,10.200.7.194,443,179.1.4.237,39124,6,1,7,0,4892,2149.0
2017-04-27 06:52:21,10.200.7.194,35911,64.233.190.188,50867,6,1,11,0,3635,4343.0
