Timestamp,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets
2017-04-26 11:11:22,10.200.7.9,3128,192.168.10.130,54538,6,120374,2,3,2576,5995.0
2017-04-26 11:11:22,10.200.7.199,34014,52.50.122.110,443,6,749621,10,5,3468,46114.0
2017-04-26 11:11:17,10.200.7.196,49544,162.208.22.39,443,6,12421234,17,5,1800,636.0
2017-04-26 11:11:30,10.200.7.8,3128,192.168.32.3,51201,6,1,2,3,3026,659.0
2017-04-26 11:11:37,10.200.7.6,3128,192.168.131.26,49355,6,1414359,12,0,824233,395.0
2017-04-26 11:11:19,10.200.7.194,52451,179.1.4.238,80,6,9904475,4,1,1419,1425.0
2017-04-26 11:11:25,10.200.7.195,55304,179.1.4.230,443,6,557138,10,4,2590,4259.0
2017-04-26 11:11:26,10.200.7.217,38762,10.200.7.7,443,6,13111145,11,13,2367,3435.0
2017-04-26 11:11:22,10.200.7.4,3128,192.168.180.51,50699,6,1,1,0,0,0.0
2017-04-26 11:11:24,10.200.7.196,53921,98.139.225.43,443,6,773808,7,7,1353,0.0
2017-04-26 11:11:37,10.200.7.4,3128,192.168.90.65,53903,6,86211,4,1,0,1615.0
2017-04-26 11:11:29,10.200.7.9,3128,192.168.151.9,38096,6,1,2,0,0,1660.0
2017-04-26 11:11:19,192.168.72.43,46913,10.200.7.7,3128,6,3427026,15,0,2673,0.0
2017-04-26 11:11:28,10.200.7.4,3128,192.168.131.26,49461,6,15648,2,1,1472,0.0
2017-04-26 11:11:26,10.200.7.6,3128,172.19.1.45,54682,6,1,4,0,2396,0.0
2017-04-26 11:11:40,10.200.7.196,41359,66.150.48.34,443,6,841028,5,6,756,751.0
2017-04-26 11:11:28,192.168.220.177,58631,10.200.7.6,3128,6,595163,4,12,4544,4161.0
2017-04-26 11:11:39,192.168.41.47,59925,10.200.7.7,3128,6,639846,52,384,5307,428220.0
2017-04-26 11:11:22,10.200.7.5,3128,192.168.180.37,51863,6,73885,2,2,0,0.0
2017-04-26 11:11:43,10.200.7.4,3128,192.168.151.9,54366,6,1,3,3,0,1093.0
2017-04-26 11:11:30,10.200.7.196,54533,68.67.178.170,443,6,476204,8,19,2445,31125.0
2017-04-26 11:11:38,192.168.60.81,80,10.200.7.5,3128,6,4243826,15,3,1632,679.0
2017-04-26 11:11:29,192.168.10.121,37461,10.200.7.7,3128,6,793780,15,17,5135,7904.0
2017-04-26 11:11:19,192.168.131.26,62103,10.200.7.9,3128,6,326164,6,25,3615,874.0
2017-04-26 11:11:41,192.168.180.37,59615,10.200.7.6,3128,6,641284,16,53,5239,39654.0
2017-04-26 11:11:43,10.200.7.8,53327,192.168.151.9,3128,6,13054,3,5,529,2198.0
2017-04-26 11:11:39,10.200.7.196,50384,74.119.117.78,443,6,331908,7,1,570,2667.0
2017-04-26 11:11:24,10.200.7.7,3128,192.168.130.245,2062,6,1,2,2,845,0.0
2017-04-26 11:11:24,10.200.7.217,56919,192.168.32.109,80,6,130851,4,3,1232,0.0
2017-04-26 11:11:17,192.168.32.129,55948,10.200.7.5,3128,6,6361705,15,91,4555,196784.0
2017-04-26 11:11:29,10.200.7.4,3128,192.168.131.26,60067,6,1498893,11,4,1008,0.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,54637,6,1,3,1,2337,588.0
2017-04-26 11:11:22,192.168.90.39,50620,10.200.7.6,3128,6,7147250,4,19,2213,1479.0
2017-04-26 11:11:23,179.1.4.223,443,10.200.7.217,51376,6,1,3,3,870,0.0
2017-04-26 11:11:29,10.200.7.7,3128,172.19.1.57,60765,6,28450,1,1,0,0.0
2017-04-26 11:11:42,10.200.7.6,3128,192.168.180.18,54615,6,78124,3,0,0,1680.0
2017-04-26 11:11:38,10.200.7.6,3128,192.168.131.26,49487,6,1,1,0,801,653.0
2017-04-26 11:11:36,192.168.151.8,37510,10.200.7.4,3128,6,2600124,4,5,1676,0.0
2017-04-26 11:11:29,10.200.7.9,3128,192.168.32.49,54541,6,1,3,3,713,3548.0
2017-04-26 11:11:25,179.1.4.217,80,10.200.7.217,52759,6,1,3,4,921,1582.0
2017-04-26 11:11:42,10.200.7.4,3128,192.168.131.26,55251,6,1,1,2,0,0.0
2017-04-26 11:11:40,10.200.7.4,3128,192.168.131.26,51877,6,1,1,1,0,0.0
2017-04-26 11:11:28,10.200.7.6,3128,192.168.32.62,54626,6,54641,6,0,2435,3956.0
2017-04-26 11:11:23,10.200.7.7,3128,179.1.4.207,1992,6,49462,1,2,0,0.0
2017-04-26 11:11:28,10.200.7.6,3128,192.168.131.39,35622,6,1,2,2,614,0.0
