Timestamp,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets
2017-04-26 11:11:22,10.200.7.9,3128,192.168.10.130,54538,6,120374,2,18,2576,5995.0
2017-04-26 11:11:22,10.200.7.199,34014,52.50.122.110,443,6,10200659,10,24,3468,46114.0
2017-04-26 11:11:17,10.200.7.196,41575,162.208.22.39,443,6,12421238,17,5,1800,636.0
2017-04-26 11:11:30,10.200.7.8,3128,192.168.32.3,1982,6,1,2,3,3026,659.0
2017-04-26 11:11:37,10.200.7.6,3128,172.19.1.45,49355,6,1414359,12,0,824233,395.0
2017-04-26 11:11:19,10.200.7.194,50186,179.1.4.238,80,6,1,4,1,1419,1425.0
2017-04-26 11:11:25,10.200.7.217,56415,179.1.4.230,443,6,12582744,10,22,2590,4259.0
2017-04-26 11:11:26,10.200.7.217,44493,10.200.7.7,443,6,13111144,11,1,2367,3435.0
2017-04-26 11:11:22,10.200.7.4,3128,192.168.180.51,46966,6,1,1,0,0,0.0
2017-04-26 11:11:24,10.200.7.196,45447,98.139.225.43,443,6,773808,7,7,1353,0.0
2017-04-26 11:11:37,10.200.7.4,3128,192.168.32.62,53903,6,86211,4,1,0,1615.0
2017-04-26 11:11:29,10.200.7.9,3128,192.168.151.9,50414,6,1,2,0,0,1660.0
2017-04-26 11:11:19,192.168.72.43,35032,10.200.7.7,3128,6,3427027,15,0,2673,0.0
2017-04-26 11:11:28,10.200.7.4,3128,192.168.131.26,49461,6,15648,2,1,1472,0.0
2017-04-26 11:11:26,10.200.7.6,3128,172.19.1.45,54682,6,1,4,0,2396,0.0
2017-04-26 11:11:40,10.200.7.196,49401,66.150.48.34,443,6,841028,5,6,756,751.0
2017-04-26 11:11:28,192.168.10.130,58631,10.200.7.6,3128,6,595163,13,12,4544,4161.0
2017-04-26 11:11:39,192.168.41.47,46039,10.200.7.7,3128,6,639846,52,384,5307,428220.0
2017-04-26 11:11:22,10.200.7.5,3128,192.168.180.37,51863,6,73885,2,2,0,0.0
2017-04-26 11:11:43,10.200.7.4,3128,192.168.151.9,53993,6,1,3,3,0,1093.0
2017-04-26 11:11:30,10.200.7.196,54533,179.1.4.224,80,6,476204,8,19,2445,2249.0
2017-04-26 11:11:38,192.168.60.81,80,10.200.7.5,3128,6,4243826,15,3,1632,679.0
2017-04-26 11:11:29,192.168.10.121,52954,10.200.7.7,3128,6,10586066,38,17,5135,7904.0
2017-04-26 11:11:19,192.168.32.49,62103,10.200.7.4,3128,6,326164,18,25,3615,874.0
2017-04-26 11:11:41,192.168.180.37,59615,10.200.7.6,3128,6,641284,16,53,5239,39654.0
2017-04-26 11:11:43,10.200.7.8,46984,192.168.151.9,3128,6,13054,3,5,529,2198.0
2017-04-26 11:11:39,10.200.7.196,60777,74.119.117.78,443,6,331907,7,1,570,2667.0
2017-04-26 11:11:24,10.200.7.7,3128,192.168.130.245,2062,6,1,2,2,845,0.0
2017-04-26 11:11:20,10.200.7.194,33157,192.168.32.109,80,6,130851,4,3,1232,0.0
2017-04-26 11:11:17,192.168.32.129,55948,10.200.7.5,3128,6,6361703,15,91,4555,196784.0
2017-04-26 11:11:30,10.200.7.4,3128,192.168.131.26,60067,6,1498893,11,0,1008,0.0
2017-04-26 11:11:17,10.200.7.4,3128,192.168.180.51,54637,6,1,3,1,2337,588.0
2017-04-26 11:11:22,192.168.90.39,49196,10.200.7.6,3128,6,54871,5,16,1100,4456.0
2017-04-26 11:11:30,179.1.4.223,443,10.200.7.217,51376,6,37949,1,2,0,0.0
2017-04-26 11:11:43,10.200.7.9,3128,192.168.180.37,57326,6,1,1,0,0,459.0
2017-04-26 11:11:42,10.200.7.6,3128,192.168.180.18,54615,6,15812,6,7,1881,2482.0
2017-04-26 11:11:29,10.200.7.6,3128,192.168.131.26,49487,6,1,2,2,896,3475.0
2017-04-26 11:11:21,192.168.180.51,37510,10.200.7.4,3128,6,1,5,12,1838,0.0
2017-04-26 11:11:32,10.200.7.9,3128,192.168.180.37,54541,6,470472,5,2,801,2501.0
2017-04-26 11:11:26,179.1.4.217,80,10.200.7.217,52759,6,15521,3,0,323,1400.0
2017-04-26 11:11:20,10.200.7.217,46706,10.200.7.5,3128,6,4571907,16,57,3391,31851.0
2017-04-26 11:11:21,192.168.180.29,54620,10.200.7.7,3128,6,317127,18,2,2358,1590.0
2017-04-26 11:11:31,10.200.7.5,3128,172.17.1.110,54626,6,25327,3,0,874,0.0
2017-04-26 11:11:25,10.200.7.7,3128,179.1.4.207,58348,6,37560,2,2,1246,0.0
2017-04-26 11:11:28,10.200.7.199,35133,179.1.4.230,443,6,1617659,12,3,3228,682.0
2017-04-26 11:11:28,192.168.72.58,54010,10.200.7.9,3128,6,372723,2,6,0,0.0
2017-04-26 11:11:32,192.168.131.26,49305,179.1.4.210,53921,6,7484,4,3,1378,519.0
2017-04-26 11:11:28,10.200.7.6,3128,192.168.131.26,51873,6,1,2,0,1526,0.0
2017-04-26 11:11:21,10.200.7.9,3128,192.168.180.37,49410,6,6636926,6,1,3293,1641.0
2017-04-26 11:11:29,10.200.7.9,3128,172.17.1.110,53340,6,38553,13,3,1935,36097.0
2017-04-26 11:11:29,192.168.131.39,55990,10.200.7.7,3128,6,108602,2,5,0,1969.0
2017-04-26 11:11:33,10.200.7.4,3128,192.168.131.26,43249,6,82587,1,0,1318,0.0
